from_concept_id,from_name,to_concept_id,to_name,relationship_type,strength,note
E43,Overloading & Short Circuit,E52,Short Circuit in Domestic Supply,PREREQUISITE_OF,0.9,Short circuit is a type of fault causing overloading
E02,Electric Current,M01,Magnetic Field,PREREQUISITE_OF,0.9,Magnetic field is produced by moving charges / current
M01,Magnetic Field,M02,Magnetic Field Lines,PREREQUISITE_OF,1.0,Field lines represent the field
M02,Magnetic Field Lines,M03,Properties of Magnetic Field Lines,PREREQUISITE_OF,1.0,Properties are properties of field lines
M01,Magnetic Field,M04,Bar Magnet,PREREQUISITE_OF,0.8,Bar magnet studied in context of field
M04,Bar Magnet,M05,Magnetic Poles — Like and Unlike,PREREQUISITE_OF,1.0,Poles are properties of bar magnet
M04,Bar Magnet,M06,Compass Needle,PREREQUISITE_OF,0.9,Compass is a small magnet in Earth's field
M05,Magnetic Poles — Like and Unlike,M06,Compass Needle,PREREQUISITE_OF,0.7,Compass alignment by pole attraction
M01,Magnetic Field,M08,Magnetic Effect of Electric Current,PREREQUISITE_OF,0.9,Electric current produces magnetic field
E02,Electric Current,M08,Magnetic Effect of Electric Current,PREREQUISITE_OF,1.0,Current is what creates the magnetic effect
M08,Magnetic Effect of Electric Current,M09,Oersted's Experiment,PREREQUISITE_OF,1.0,Oersted's experiment demonstrates M08
M06,Compass Needle,M09,Oersted's Experiment,PREREQUISITE_OF,0.8,Experiment uses compass to detect field
M08,Magnetic Effect of Electric Current,M10,Magnetic Field due to Straight Wire,PREREQUISITE_OF,1.0,Straight wire field is application of M08
M02,Magnetic Field Lines,M10,Magnetic Field due to Straight Wire,PREREQUISITE_OF,0.8,Field shown as field lines around wire
M10,Magnetic Field due to Straight Wire,M12,Right-Hand Thumb Rule,PREREQUISITE_OF,1.0,RHTR gives direction of field from M10
M10,Magnetic Field due to Straight Wire,M13,Magnetic Field due to Circular Loop,PREREQUISITE_OF,1.0,Circular loop is coiled version of straight wire
M08,Magnetic Effect of Electric Current,M13,Magnetic Field due to Circular Loop,PREREQUISITE_OF,0.8,Same principle — current creates field
M13,Magnetic Field due to Circular Loop,M15,Solenoid,PREREQUISITE_OF,1.0,Solenoid = many circular loops
M12,Right-Hand Thumb Rule,M15,Solenoid,PREREQUISITE_OF,0.8,RHTR used to find solenoid field direction
M15,Solenoid,M17,Electromagnet,PREREQUISITE_OF,1.0,Electromagnet = solenoid with iron core
M01,Magnetic Field,M18,Force on Current-Carrying Conductor,PREREQUISITE_OF,1.0,Force requires magnetic field
M08,Magnetic Effect of Electric Current,M18,Force on Current-Carrying Conductor,PREREQUISITE_OF,1.0,Force acts on current-carrying conductor
M18,Force on Current-Carrying Conductor,M20,Fleming's Left-Hand Rule,PREREQUISITE_OF,1.0,FLHR gives direction of force from M18
M12,Right-Hand Thumb Rule,M20,Fleming's Left-Hand Rule,PREREQUISITE_OF,0.7,RHTR and FLHR are related directional rules
M10,Magnetic Field due to Straight Wire,M28,Reversal of Current and Field Direction,PREREQUISITE_OF,1.0,Reversing current reverses field from straight wire
M09,Oersted's Experiment,M28,Reversal of Current and Field Direction,PREREQUISITE_OF,0.8,Oersted's exp shows reversal when current reversed
M12,Right-Hand Thumb Rule,M29,Maxwell's Corkscrew Rule,PREREQUISITE_OF,0.7,Corkscrew rule is alternative to RHTR
M02,Magnetic Field Lines,M30,Uniform Magnetic Field,PREREQUISITE_OF,0.8,Uniform field = equally spaced parallel field lines
M15,Solenoid,M30,Uniform Magnetic Field,PREREQUISITE_OF,0.9,Interior of solenoid is an example of uniform field
M18,Force on Current-Carrying Conductor,M31,Electric Motor — Principle,PREREQUISITE_OF,1.0,Motor uses force on current-carrying conductor
M20,Fleming's Left-Hand Rule,M31,Electric Motor — Principle,PREREQUISITE_OF,1.0,FLHR used in motor to find rotation direction
M31,Electric Motor — Principle,M32,Electric Motor — Construction & Working,PREREQUISITE_OF,1.0,Working is application of principle
M01,Magnetic Field,M33,Electromagnetic Induction,PREREQUISITE_OF,0.9,Induction involves changing magnetic flux
M08,Magnetic Effect of Electric Current,M33,Electromagnetic Induction,PREREQUISITE_OF,0.8,EM induction is converse of magnetic effect of current
M33,Electromagnetic Induction,M34,AC Generator / Dynamo,PREREQUISITE_OF,1.0,Generator is application of electromagnetic induction
M18,Force on Current-Carrying Conductor,M35,Galvanometer,PREREQUISITE_OF,0.9,Galvanometer uses force on current coil
E39,Electric Fuse,E50,Domestic Circuit Safety,PREREQUISITE_OF,1.0,Safety — fuse is key device
E45,Domestic Electric Circuits,E50,Domestic Circuit Safety,PREREQUISITE_OF,0.9,Safety in domestic circuit context
E29,Parallel Combination of Resistors,E51,Series vs Parallel in Domestic Wiring,PREREQUISITE_OF,1.0,Domestic wiring = parallel combination applied
E43,Overloading & Short Circuit,E52,Short Circuit in Domestic Supply,PREREQUISITE_OF,0.9,Short circuit causes overloading
E45,Domestic Electric Circuits,E52,Short Circuit in Domestic Supply,PREREQUISITE_OF,0.8,Occurs in domestic circuit
