concept_id,concept_name,chapter,description,formula,unit,prerequisites,bloom_level,difficulty_level,concept_type,misconception,quiz_in_scope,change_flag
E38,Electric Bulb Filament,Electricity,"Tungsten filament: high melting point (~3500°C), high resistivity; inert gas fills bulb to prevent oxidation",—,—,"E37, E21",apply,2,derived,Students think filament glows because of low resistance; confuse with heating elements,YES,UNCHANGED
E39,Electric Fuse,Electricity,Safety device; thin wire with low melting point; melts when current exceeds rated value; breaks circuit,—,—,"E36, E37",understand,2,derived,Students think fuse increases resistance to protect; confuse fuse rating with load power,YES,UNCHANGED
E40,Electric Power,Electricity,Rate of electrical energy consumed; P=VI=I²R=V²/R; unit is Watt (1W=1J/s),P = VI = I²R = V²/R,Watt (W),"E35, E08, E02",apply,2,derived,Students use only P=VI and forget P=I²R and P=V²/R forms; can't solve when only R and V given,YES,UNCHANGED
E42,Kilowatt-hour (Unit),Electricity,1 kWh = energy used by 1 kW appliance in 1 hour = 3.6×10⁶ J; used for billing,1 kWh = 3.6×10⁶ J,kWh,E40,apply,1,atomic,Students think kWh is a unit of power not energy; confuse kW and kWh,YES,UNCHANGED
E43,Overloading & Short Circuit,Electricity,"Overloading: too many appliances on same circuit exceed safe current; Short circuit: live and neutral touch, resistance drops to near zero, current surges",—,—,"E39, E06",understand,2,derived,Students confuse overloading with short circuit; think fuse prevents short circuit (it only responds after),YES,CORRECTED: merged E43+E44
E45,Domestic Electric Circuits,Electricity,"Three wires: Live (red/brown), Neutral (black/blue), Earth (green); parallel wiring; 220V supply; separate circuits for lights and power",—,—,"E06, E33",understand,2,derived,Students think domestic wiring is series; confuse live and neutral wire functions,YES,UNCHANGED
E46,Earth Wire / Live / Neutral,Electricity,Live: carries current at high potential; Neutral: at zero potential; Earth: safety — connected to ground to prevent shock,—,—,E45,understand,1,atomic,Students think neutral and earth are the same; don't understand why earth wire is needed,YES,CORRECTED: merged E46+E47+E48
M01,Magnetic Field,Magnetic Effects of Electric Current,Region around magnet/current where magnetic force acts; vector quantity; represented by field lines,B field,Tesla (T),E02,remember,1,atomic,Students confuse magnetic field with gravitational field; think field only exists near poles,YES,UNCHANGED
M02,Magnetic Field Lines,Magnetic Effects of Electric Current,Closed curves showing direction of magnetic force; never intersect; density indicates field strength,—,—,M01,understand,1,atomic,Students think field lines are real physical entities; don't understand what 'density' means here,YES,UNCHANGED
M03,Properties of Magnetic Field Lines,Magnetic Effects of Electric Current,Form closed loops; direction from N to S outside magnet; never cross; crowded = stronger field,—,—,M02,understand,1,derived,Students think field lines cross at poles; confuse direction inside vs outside magnet,YES,UNCHANGED
M04,Bar Magnet,Magnetic Effects of Electric Current,Has two poles (N and S); cannot isolate a single pole; produces field lines from N to S externally,—,—,M01,remember,1,atomic,Students think cutting a magnet removes one pole; expect monopoles to exist,YES,UNCHANGED
M05,Magnetic Poles — Like and Unlike,Magnetic Effects of Electric Current,Like poles repel; unlike poles attract; same law as electric charges but no magnetic monopole,—,—,M04,remember,1,atomic,Students confuse magnetic attraction/repulsion rules with electric charge rules,YES,UNCHANGED
M06,Compass Needle,Magnetic Effects of Electric Current,Small pivoted magnet; aligns with Earth's magnetic field; N pole points geographic north,—,—,"M04, M01",understand,1,instrument,Students think compass N pole points to Earth's magnetic north pole (it actually points to geographic north = Earth's magnetic south pole),YES,UNCHANGED
M08,Magnetic Effect of Electric Current,Magnetic Effects of Electric Current,Moving charges (current) create magnetic field around them — foundation of electromagnetism,—,—,"E02, M01",understand,2,derived,Students think magnetic effect only occurs in special wires or electromagnets,YES,UNCHANGED
M09,Oersted's Experiment,Magnetic Effects of Electric Current,Current in straight wire deflects nearby compass needle — proves electric current produces magnetic field; deflection reverses when current reverses,—,—,"M08, M06",understand,1,experiment,Students confuse cause and effect — think compass creates the field,YES,UNCHANGED
M10,Magnetic Field due to Straight Wire,Magnetic Effects of Electric Current,"Field forms concentric circles around wire; direction by Right-Hand Thumb Rule; strength ∝ I, ∝ 1/distance",—,—,"M08, M02",apply,2,derived,Students draw field lines as parallel lines; think field strength is constant at all distances,YES,UNCHANGED
M12,Right-Hand Thumb Rule,Magnetic Effects of Electric Current,Thumb points in direction of current; curled fingers show direction of magnetic field circles around wire,—,—,M10,apply,2,rule,Students point thumb along field direction instead of current direction; apply rule to wrong situations,YES,UNCHANGED
M13,Magnetic Field due to Circular Loop,Magnetic Effects of Electric Current,Field at centre is straight; field lines appear as if from a bar magnet; strength increases with turns,—,—,"M08, M10",apply,2,derived,Students think circular loop field is same as straight wire field,YES,UNCHANGED
M15,Solenoid,Magnetic Effects of Electric Current,Coil of insulated wire; field inside is uniform and parallel — like bar magnet; strength ∝ n (turns/length) and I,B = μ₀nI,—,"M13, M12",apply,2,atomic,Students don't understand why solenoid field is uniform inside; think it's same as single loop,YES,UNCHANGED
M17,Electromagnet,Magnetic Effects of Electric Current,"Soft iron core inside solenoid; magnetized only when current flows; strength increased by more turns, higher current, soft iron core",—,—,M15,apply,2,derived,Students think permanent magnet is stronger than electromagnet; don't know what soft iron does,YES,UNCHANGED
M18,Force on Current-Carrying Conductor,Magnetic Effects of Electric Current,Conductor in magnetic field experiences force F = BIL sinθ; force perpendicular to both B and I,F = BIL sinθ,Newton (N),"M08, M01",apply,2,derived,Students think force is along the current direction; forget it's perpendicular,YES,UNCHANGED
M20,Fleming's Left-Hand Rule,Magnetic Effects of Electric Current,"Left hand: forefinger=B field, middle finger=current, thumb=force/motion; used for motors",—,—,"M18, M12",apply,2,rule,Students confuse Left-Hand Rule (motor) with Right-Hand Rule (generator); apply wrong hand,YES,UNCHANGED
M28,Reversal of Current and Field Direction,Magnetic Effects of Electric Current,Reversing current in wire reverses direction of magnetic field produced around it,—,—,"M10, M09",understand,2,derived,"Students think reversing current only changes field strength, not direction",YES,UNCHANGED
M29,Maxwell's Corkscrew Rule,Magnetic Effects of Electric Current,Alternative to Right-Hand Thumb Rule: rotate corkscrew in current direction — motion of screw = field direction,—,—,M12,understand,2,rule,Students treat this as different from RHTR when it gives same result — creates confusion about which to use,YES,NOTED: equivalent to M12
M30,Uniform Magnetic Field,Magnetic Effects of Electric Current,Field with same magnitude and direction everywhere; represented by parallel equidistant field lines,—,—,"M02, M15",understand,2,derived,Students think all magnetic fields are uniform; apply uniform-field formula to all situations,YES,UNCHANGED
M31,Electric Motor — Principle,Magnetic Effects of Electric Current,A device that converts electrical energy to mechanical (rotational) energy using force on current-carrying conductor in magnetic field,—,—,"M18, M20",understand,2,derived,Students confuse motor with generator — mix up energy conversion direction,YES,ADDED
M32,Electric Motor — Construction & Working,Magnetic Effects of Electric Current,Rectangular coil in magnetic field; current from split-ring commutator; coil rotates due to torque; direction by FLHR,—,—,M31,apply,3,derived,Students don't understand role of commutator; think coil can rotate without it,YES,ADDED
M33,Electromagnetic Induction,Magnetic Effects of Electric Current,Changing magnetic flux through a coil induces EMF (Faraday's Law); changing B or moving conductor induces current,—,—,"M01, M08",understand,2,derived,Students confuse with static magnetic field; think any field induces current (not changing field),YES,ADDED
M34,AC Generator / Dynamo,Magnetic Effects of Electric Current,Converts mechanical energy to electrical energy using electromagnetic induction; rotating coil in magnetic field,—,—,M33,apply,3,derived,Students think generator and motor are different devices (they are reverse of each other),YES,ADDED
M35,Galvanometer,Magnetic Effects of Electric Current,Sensitive instrument to detect small current; works on force on current-carrying coil in magnetic field,—,—,M18,apply,2,instrument,Students confuse galvanometer with ammeter; don't know galvanometer can detect zero current,YES,ADDED
E50,Domestic Circuit Safety,Electricity,Fuse and MCB protect circuits; fuse rating must match appliance; earthing prevents shock; overloading must be avoided,—,—,"E39, E45",apply,2,derived,Students think higher-rated fuse = safer; confuse MCB with fuse function,YES,CORRECTED: was M23
E51,Series vs Parallel in Domestic Wiring,Electricity,Domestic wiring uses parallel connections; each appliance gets full 220V; independent operation; equal voltage distribution,—,—,"E29, E45",understand,2,derived,Students think domestic wiring is in series because devices are connected to same supply,YES,CORRECTED: was M24
E52,Short Circuit in Domestic Supply,Electricity,Live and neutral wires touch → R→0 → huge current surge → fuse melts; caused by faulty insulation,—,—,"E43, E45",understand,2,derived,Students think short circuit is same as open circuit; confuse which increases/decreases resistance,YES,CORRECTED: was M25
