question_id,Qnum,Chapter,concept_id,Bloom,Difficulty,Type,Question_Stem,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Correct_Reasoning,Wrong_A__Confusion___Weak_Topic,Wrong_B__Confusion___Weak_Topic,Wrong_C__Confusion___Weak_Topic,Wrong_D__Confusion___Weak_Topic
Q011,11,Electricity,E19,apply,2,Numerical,"A wire of resistance 8 Ω is stretched to double its length. Assuming volume is constant, what is the new resistance?",16 Ω,4 Ω,32 Ω,2 Ω,C,"When wire is stretched to 2L, volume is constant so area becomes A/2 (since L×A = constant). New R = ρ(2L)/(A/2) = 4ρL/A = 4 × original R = 4 × 8 = 32 Ω.","[A] — Weak: E19. Student doubled only the length effect (R ∝ L → 2×8=16) but forgot that area also halves when wire is stretched, contributing another factor of 2.",[B] — Weak: E19. Student thought stretching reduces resistance (perhaps confused with a wire getting thicker). R decreases with increasing area but area decreases when stretched.,"[D] — Weak: E19, E20. Student may have divided 8/4 thinking stretching reduces resistance by some factor. Shows weak grasp of the R = ρL/A relationship.",—
Q012,12,Electricity,E33,analyze,2,Conceptual,Why are household appliances connected in parallel and NOT in series?,Parallel allows lower voltage across each appliance,Parallel allows each appliance to operate independently at full supply voltage,Parallel reduces total current drawn from supply,Parallel connection is simpler to wire than series,B,"In parallel, each appliance receives the full 220 V supply voltage and can be switched on/off independently. In series, switching off one device breaks the circuit for all, and each device would only get a fraction of the supply voltage.","[A] — Weak: E29, E33. Student has the voltage rule backwards. In parallel, EACH device gets FULL voltage. In series, voltage is divided — parallel gives higher (full) voltage, not lower.","[C] — Weak: E29, E40. Student incorrectly thinks parallel reduces current. Parallel actually allows MORE current to be drawn (each branch draws its own current).",[D] — Weak: E33. Student picks a practical but incorrect reason. Parallel wiring is actually more complex and uses more wire than series — the reason is not simplicity.,—
Q013,13,Electricity,E39,understand,2,Conceptual,A fuse is rated 5 A. It is connected in a circuit that draws 3 A normally. What happens if the circuit suddenly draws 8 A?,Nothing — the fuse protects by increasing resistance to limit current to 5 A,The fuse wire melts and breaks the circuit,The fuse wire melts but current continues to flow through the broken fuse,The fuse increases in resistance and the current drops back to 5 A,B,"The fuse wire has a low melting point. When current exceeds its rated value (8 A > 5 A), the wire heats up by Joule effect, melts, and breaks the circuit — protecting the appliance.","[A] — Weak: E39, E14. Student thinks fuse acts like a variable resistor. A fuse is not a regulator — it doesn't limit current; it breaks the circuit when current is too high.","[C] — Weak: E39, E06. Student knows fuse melts but thinks current continues. Once the wire melts, the circuit is open — no current can flow (same as open switch).","[D] — Weak: E39, E18. Student confuses fuse with a rheostat or PTC thermistor. A fuse does not self-regulate; it is a one-time protection device.",—
Q014,14,Electricity,"E45,E46",understand,2,Conceptual,Why is the earth wire (green wire) connected to the metallic body of an appliance like a washing machine?,To provide a return path for current when the appliance is used,"To give a low-resistance path to ground if the live wire touches the metal body, preventing electric shock",To reduce the power consumption of the appliance,To complete the parallel circuit in domestic wiring,B,"If the live wire accidentally touches the metal casing, the earth wire provides a low-resistance path to ground. The huge current melts the fuse, breaking the circuit before the person touching the case gets a dangerous shock.","[A] — Weak: E45, E48. Student confuses earth wire with neutral wire. Neutral is the return path for normal current. Earth is only for fault protection.","[C] — Weak: E46, E40. Student has no concept of earth wire's purpose. Power consumption is set by appliance resistance and supply voltage — not by the earth wire.",[D] — Weak: E45. Student thinks earth completes the parallel wiring structure. It is not part of the normal current path at all — only active during a fault.,—
Q015,15,Magnetic Effects,M04,understand,1,Conceptual,A bar magnet is cut into two equal halves across its length (perpendicular to the axis). What do you get?,"Two magnets — one with only a north pole, one with only a south pole","Two magnets, each with both a north and south pole",Two pieces of unmagnetized iron,One stronger magnet and one weaker magnet,B,"Magnetic poles always exist in pairs (dipoles). Every piece of a magnet, no matter how small, always has both a north and south pole. Magnetic monopoles do not exist.","[A] — Weak: M04, M05. Student assumes poles are physically located at each end and cutting separates them. This is the most fundamental misconception about magnets.",[C] — Weak: M04. Student thinks cutting destroys the magnetism. The alignment of magnetic domains is preserved in each half — both pieces remain magnetized.,"[D] — Weak: M04. Student guesses strength changes. While field strength can change, the question is about pole existence — each half still has both poles.",—
Q016,16,Magnetic Effects,M03,understand,2,Conceptual,Which statement about magnetic field lines is INCORRECT?,They form closed loops,They never intersect each other,They are denser where the magnetic field is weaker,"Outside a magnet, they go from North pole to South pole",C,"Magnetic field lines are denser (closer together) where the field is STRONGER, not weaker. Near the poles the lines are crowded = strong field; far away they spread out = weaker field.","[A] — Weak: M02, M03. Student marked A as incorrect thinking field lines are open ended. Magnetic field lines always form closed loops (they continue inside the magnet from S to N).","[B] — Weak: M03. Student thinks field lines can cross. If they crossed, the field would have two directions at one point — impossible. This is a fundamental property.","[D] — Weak: M02. Student marked D as incorrect, confusing outside vs inside direction. Outside: N→S. Inside: S→N. The 'from N to S outside' rule is standard.",—
Q017,17,Magnetic Effects,M09,understand,1,Conceptual,"In Oersted's experiment, when the current through the wire is reversed, what happens to the compass needle?",The compass needle stops deflecting,The compass needle deflects in the opposite direction,The compass needle deflects in the same direction but with less force,The compass needle vibrates back and forth,B,"The magnetic field direction around a wire depends on the direction of current. Reversing current reverses the field direction, which reverses the torque on the compass needle — it deflects in the opposite direction.","[A] — Weak: M08, M09. Student thinks reversing current removes the magnetic effect. Current still flows (just in opposite direction) and still creates a magnetic field.","[C] — Weak: M28. Student knows reversal changes something but thinks only strength changes, not direction. This confuses magnitude with direction of the field.","[D] — Weak: M09. Student has no model for what happens — guesses vibration. Vibration would occur for AC current, not simple reversal.",—
Q018,18,Magnetic Effects,M12,apply,2,Conceptual,"Using the Right-Hand Thumb Rule, if current flows upward in a straight vertical wire, what is the direction of the magnetic field just to the east of the wire?",From North to South,Toward the top of the page (upward),From South to North (into the page on the east side means northward),The field circles the wire — at the east side it points toward the South,D,"Right-Hand Thumb Rule: point thumb upward (current direction). Curled fingers show field direction. At the east side of the wire, the fingers curl from east toward south — so field points southward at that location.",[A] — Weak: M12. Student confuses magnetic field direction with compass directions arbitrarily. They haven't applied the hand rule at all.,"[B] — Weak: M12, M10. Student thinks the field goes in the same direction as current. The field is perpendicular to the current direction — it circles the wire, never pointing along it.",[C] — Weak: M12. Student applied the rule to the wrong hand (or pointed fingers wrong). A common error is using the right hand but pointing thumb in field direction instead of current direction.,—
Q019,19,Magnetic Effects,M20,apply,2,Conceptual,Fleming's Left-Hand Rule is used for which of the following?,Finding direction of magnetic field produced by current-carrying wire,Finding direction of induced current in a generator,Finding direction of force on a current-carrying conductor in a magnetic field,Finding direction of conventional current flow in a circuit,C,"Fleming's Left-Hand Rule gives the direction of mechanical force (or motion) on a current-carrying conductor in an external magnetic field — this is the motor principle. Forefinger=B, Middle=I, Thumb=Force.","[A] — Weak: M12, M20. Student confuses FLHR with Right-Hand Thumb Rule. RHTR gives field direction from current; FLHR gives force direction on conductor. Different rules, different purposes.","[B] — Weak: M20, M33. Student confuses FLHR (motor) with Fleming's Right-Hand Rule (generator/induced current). The two rules use different hands for a reason — motors and generators are reverse processes.","[D] — Weak: M20, E05. Student doesn't know the purpose of FLHR at all — conventional current direction is given by Ohm's Law context, not FLHR.",—
Q020,20,Magnetic Effects,M15,understand,2,Conceptual,"Inside a current-carrying solenoid, the magnetic field is:",Strongest at the centre and weakest near the ends,"Zero, because the fields from all turns cancel each other",Uniform and parallel along the axis of the solenoid,"Circular, like the field around a single wire",C,"Inside a solenoid, the magnetic fields from each turn add up constructively to produce a uniform, parallel field along the axis. This is why a solenoid field resembles a bar magnet and is used in electromagnets.","[A] — Weak: M15, M16. Student guesses based on analogy with a single loop where field is strongest at centre. In a solenoid, the overlapping fields from many turns produce uniform field inside — not peak at centre.","[B] — Weak: M15. Student incorrectly applies a superposition argument. The fields from all turns add (same direction inside), they don't cancel.","[D] — Weak: M15, M10. Student confuses solenoid field with single straight wire field. Each turn of the solenoid has circular field, but together they create the axial uniform field.",—
Q021,21,Magnetic Effects,M31,understand,2,Conceptual,An electric motor converts:,Mechanical energy to electrical energy,Electrical energy to heat energy,Electrical energy to mechanical (kinetic) energy,Chemical energy to electrical energy,C,An electric motor uses the force on a current-carrying conductor in a magnetic field (FLHR) to produce rotational motion — converting electrical energy to mechanical energy.,"[A] — Weak: M31, M34. Student has confused motor with generator. A generator converts mechanical to electrical — the exact reverse. This is the most common motor-generator confusion.","[B] — Weak: M31, E35. Student confuses motor with a resistive heater. While some heat is produced as a side effect, the PRIMARY energy conversion in a motor is electrical → mechanical.","[D] — Weak: M31, E11. Student confused motor with a battery/cell. A cell converts chemical to electrical; a motor converts electrical to mechanical.",—
Q022,22,Magnetic Effects,M33,understand,2,Conceptual,A copper ring is held stationary in a magnetic field. A student moves a bar magnet rapidly toward the ring. What is observed?,A current is induced in the ring only while the magnet is moving,A current is induced continuously even after the magnet stops,No current is induced since copper is not magnetic,A current is induced only when the magnet touches the ring,A,"Electromagnetic induction requires a CHANGING magnetic flux. While the magnet moves, flux through the ring changes → EMF is induced → current flows. When the magnet stops, flux is constant → no EMF → current stops. Copper is a good conductor (not magnetic, but that's irrelevant — conductors are needed, not magnetic materials).",[B] — Weak: M33. Student thinks the induced current is permanent once started. They don't understand that EMF depends on rate of CHANGE of flux — static field = zero EMF.,[C] — Weak: M33. Student confuses 'magnetic material' with 'conductor needed for induction'. Copper doesn't need to be magnetic — it just needs to be a conductor for current to flow.,[D] — Weak: M33. Student thinks physical contact is needed. Electromagnetic induction is action at a distance — the changing field induces EMF without contact.,—
Q023,23,Magnetic Effects,M18,apply,2,Numerical,A straight conductor of length 0.5 m carrying 2 A is placed perpendicular to a uniform magnetic field of 0.4 T. What force acts on it?,0.4 N,0.2 N,1.6 N,4 N,A,"F = BIL sin θ = 0.4 × 2 × 0.5 × sin 90° = 0.4 × 2 × 0.5 × 1 = 0.4 N. Since conductor is perpendicular to field, θ = 90° and sin 90° = 1.","[B] — Weak: M18. Student computed F = B × L = 0.4 × 0.5 = 0.2, forgetting to multiply by current I. They partially applied the formula.","[C] — Weak: M18. Student computed B × I × L but used L = 1 instead of 0.5, or multiplied differently (0.4 × 2 × ... = 1.6 suggests they used L=2). Arithmetic error in formula.",[D] — Weak: M18. Student computed I × L / B or some other wrong combination. Shows formula is not memorized correctly.,—
Q024,24,Electricity,"E35,E36",analyze,2,Graph-Based,The graph shows heat produced (H) vs time (t) for two resistors R1 and R2 carrying the same current. R1's line has a steeper slope. What can you conclude?,R1 has lower resistance than R2,R1 has higher resistance than R2,R1 carries more current than R2,R2 produces more heat per unit time,B,"From Joule's Law, H = I²Rt. At constant current, H/t = I²R = constant × R. A steeper slope of H vs t means higher I²R = higher R (since same I). Therefore R1 > R2.","[A] — Weak: E36, E16. Student reads steeper slope as 'faster/easier' and incorrectly maps this to lower resistance. They haven't connected slope of H-t graph to the formula H = I²Rt.",[C] — Weak: E36. Student says R1 has more current. But the question states same current through both — they haven't read the problem carefully. Shows impulsive graph reading.,"[D] — Weak: E36, E40. Student picks R2 (lower slope = less heat per time) as producing more heat. They've read the graph backwards.",—
Q025,25,Electricity,"E25,E29",analyze,3,Graph-Based,"Two resistors are connected first in series, then in parallel to the same battery. Which graph correctly shows the equivalent resistance comparison?",Series resistance < Parallel resistance,Series resistance = Parallel resistance for identical resistors,"Series resistance > Parallel resistance (always, for any resistor values)",Parallel resistance > Series resistance when one resistor is much larger,C,"For any two resistors R1 and R2 (both positive): Series R_eq = R1+R2; Parallel R_eq = R1R2/(R1+R2). Since R1+R2 > R1R2/(R1+R2) always (provable by algebra), series equivalent is ALWAYS greater than parallel equivalent regardless of values.","[A] — Weak: E25, E29. Student reversed the comparison. Series resistance is LARGER (adds resistances), not smaller. Parallel is SMALLER (always less than smallest individual).","[B] — Weak: E25, E29. Student thinks equal for identical resistors. For identical R: Series = 2R; Parallel = R/2. These are NOT equal — they differ by factor of 4.","[D] — Weak: E29. Student introduces a condition (one resistor much larger). The statement that parallel > series is NEVER true — the comparison is unconditional, not conditional.",—
Q026,26,Magnetic Effects,M10,analyze,2,Graph-Based,A graph plots magnetic field strength (B) vs distance (r) from a straight current-carrying wire. Which graph shape is correct?,Straight line with positive slope (B increases with r),Parabola (B ∝ r²),Hyperbola (B ∝ 1/r — decreases sharply then levels off),Horizontal line (B is constant at all distances),C,"The magnetic field around a straight wire: B = μ₀I/(2πr), so B ∝ 1/r. This is an inverse relationship — a hyperbola that decreases rapidly and approaches zero asymptotically.","[A] — Weak: M10, M11. Student thinks field increases with distance — wrong direction of effect. More distance = weaker field (like any field). This is a fundamental physics intuition error.",[B] — Weak: M10. Student guesses a parabola (perhaps confusing with gravitational or electric field formulas which can involve r²). B ∝ 1/r not 1/r².,"[D] — Weak: M10, M11. Student thinks field is uniform everywhere. Uniform field exists only inside a solenoid, not around a straight wire.",—
Q027,27,Electricity,"E19,E20",analyze,3,Conceptual,Two wires P and Q are made of the same material and have the same volume. Wire P is twice as long as wire Q. The ratio of resistance P:Q is:,1:2,2:1,4:1,1:4,C,"Same material → same ρ. Same volume → L_P × A_P = L_Q × A_Q. If L_P = 2L_Q, then A_P = A_Q/2. R = ρL/A. R_P/R_Q = (ρ × 2L_Q / (A_Q/2)) / (ρ × L_Q / A_Q) = (2L_Q × 2A_Q) / (L_Q × A_Q) wait: R_P = ρ(2L)/(A/2) = 4ρL/A. R_Q = ρL/A. Ratio = 4:1.","[A] — Weak: E19. Student only considered length effect (twice the length = twice the resistance: 2:1), forgetting that same volume means area also halves, contributing another factor of 2.",[B] — Weak: E19. Student got R ∝ L only → R_P/R_Q = L_P/L_Q = 2/1. Forgot the area constraint from the 'same volume' condition — a classic incomplete analysis.,"[D] — Weak: E19, E20. Student inverted the answer (1:4). They may have computed Q:P instead of P:Q, or confused which wire has higher resistance.",—
Q028,28,Magnetic Effects,"M17,M15",analyze,2,Conceptual,Which change would NOT increase the strength of an electromagnet?,Increasing the current through the solenoid,Inserting a soft iron core inside the solenoid,Using more turns of wire in the solenoid,Using copper wire instead of nichrome wire for the solenoid,D,"Electromagnet strength increases with: more current, more turns, and a soft iron core. Changing the wire material from nichrome to copper changes the resistance (and thus heat produced) but the magnetic field depends on the current and number of turns — if the same current flows, field strength is the same regardless of wire material.","[A] — Weak: M17, M11. Student thinks increasing current does NOT increase field. This contradicts the direct proportionality B ∝ I — more current = stronger field.",[B] — Weak: M17. Student thinks soft iron core doesn't help. Soft iron has high permeability and concentrates field lines — dramatically increases field strength inside the coil.,"[C] — Weak: M15, M14. Student thinks more turns don't help. Each turn adds to the magnetic field — B ∝ n (number of turns per unit length).",—
Q029,29,Electricity,E13,understand,2,Conceptual,"A student claims: 'If we increase the resistance of a circuit, more current flows because resistance is what pushes the current.' What is wrong with this statement?",Nothing — resistance does drive current flow,The statement is partly correct — resistance increases current but only up to a limit,Resistance opposes current flow; increasing resistance DECREASES current for the same voltage,Resistance has no effect on current — only voltage determines current,C,"From Ohm's Law, I = V/R. Resistance opposes current — for fixed voltage, more resistance means less current. The student has confused resistance (opposition) with EMF (driving force).","[A] — Weak: E13, E14. Student accepts the wrong statement. They have fundamentally confused what drives current (voltage/EMF) with what opposes it (resistance). A critical conceptual gap.",[B] — Weak: E13. Student hedges but still accepts the wrong direction. I = V/R is monotonically decreasing with R — there is no 'limit' beyond which it increases.,[D] — Weak: E13. Student over-corrects — says resistance has NO effect. I = V/R clearly shows both V and R determine I. Dismissing R's role is equally wrong.,—
Q030,30,Electricity,"E43,E52",understand,2,Conceptual,A live wire accidentally touches a neutral wire inside a wall socket. This causes:,The appliance connected to the socket to work faster,A short circuit — current surges and the fuse blows,An open circuit — no current can flow,The voltage at the socket to increase,B,"When live (at ~220V) touches neutral (at 0V), the resistance drops to near zero. By Ohm's Law, I = V/R → current surges to dangerous levels. This massive current melts the fuse wire, breaking the circuit.","[A] — Weak: E52. Student has no concept of short circuit danger. This is a safety knowledge gap — a short circuit damages and destroys appliances, it doesn't help them work.","[C] — Weak: E52, E43. Student confuses short circuit (low resistance, high current) with open circuit (broken path, no current). These are exact opposites.","[D] — Weak: E43, E08. Student thinks voltage increases. Voltage is set by the supply — a short circuit doesn't change source voltage; it changes the current drawn dramatically.",—
Q031,31,Magnetic Effects,"M08,M02",analyze,2,Conceptual,"When a current flows through a straight wire from bottom to top (upward), which diagram correctly shows the magnetic field lines around the wire when viewed from above (looking downward)?",Straight lines radiating outward from the wire,Concentric circles going clockwise (when viewed from above with current coming toward you),Concentric circles going anticlockwise (when viewed from above with current coming toward you),Parallel lines running left to right across the wire,C,"Current is flowing upward — from below, it's coming toward you when you look down. Right-Hand Thumb Rule: thumb points toward you (up). Fingers curl anticlockwise when viewed from that direction. So field lines form concentric anticlockwise circles.","[A] — Weak: M10, M02. Student confuses magnetic field lines with electric field lines (which radiate from charges). Magnetic field from a wire forms circles, not radial lines.",[B] — Weak: M12. Student applied RHTR incorrectly — used clockwise instead of anticlockwise. They may have used left-hand rule or reversed thumb direction.,"[D] — Weak: M10. Student has no model for how a wire's magnetic field looks. Parallel lines describe a uniform field (inside a solenoid), not a single straight wire's field.",—
